"[1, 1, 0, 2, 0, 0, 2, 0, 0]","[-90.09874937 -90.09874937  10.         -90.09839256   9.89982659
   9.83911106 -90.0960756    9.89745626   9.89930524]"
"[1, 1, 1, 0, 2, 0, 0, 0, 2]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[2, 0, 1, 0, 0, 0, 0, 0, 0]","[-78.15534715  -0.27097805 -83.42126917   4.5646353    0.
   1.30318109   0.           0.           0.        ]"
"[1, 1, 2, 1, 2, 2, 0, 0, 0]","[-20.         -34.02000303 -48.404      -55.22256014 -45.236
 -20.          10.         -16.         -16.        ]"
"[1, 1, 2, 0, 1, 2, 0, 0, 2]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 2, 1, 2, 0, 2, 0, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 1, 2, 0, 2, 0, 0, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 0, 2, 1, 2, 0, 2, 0]","[-20.         -20.           9.99999993   0.         -53.20976363
   0.           4.83002758 -18.02000001   0.        ]"
"[1, 1, 2, 1, 2, 0, 0, 2, 0]","[-20.         -20.         -34.07573205 -20.         -20.
 -16.           9.94097042   0.           0.        ]"
"[1, 1, 2, 2, 1, 0, 0, 0, 2]","[-90.06502665 -89.96440688 -90.05703892 -90.0858585  -90.07725505
   3.2730744  -54.33028983  10.         -89.88215157]"
"[1, 0, 2, 0, 2, 0, 0, 0, 1]","[-85.55976332 -57.24004074 -75.67842957 -34.42896674 -76.48944764
 -39.02270358   9.9         -6.15832146 -85.70167889]"
"[1, 2, 1, 0, 2, 0, 0, 0, 0]","[-93.01987547 -94.36769158 -93.39831466 -11.2131201  -93.6033331
 -26.89552008 -30.84469269   4.61878355 -23.62651005]"
"[0, 0, 0, 0, 2, 0, 0, 1, 0]","[ 4.82618819e+00  7.71430889e-01  0.00000000e+00  0.00000000e+00
 -7.53750793e+01  4.89626438e-01  2.54968804e-02 -7.05140564e+01
  0.00000000e+00]"
"[1, 0, 0, 0, 2, 2, 0, 1, 0]","[-46.80992061 -27.9480361  -39.04         6.47075649 -46.72426729
 -34.56841394 -16.         -34.40447617   0.        ]"
"[1, 1, 0, 2, 2, 0, 0, 0, 0]","[-90.09607559 -90.04289234  10.         -90.07076139 -90.08803339
   4.68683265 -16.76626356 -47.65267565 -23.12101588]"
"[1, 1, 1, 2, 2, 0, 0, 0, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 2, 0, 0, 1, 2, 0, 2]","[-76.0805909  -79.76031984 -79.76031984 -66.5782272  -63.85160697
 -79.76031984 -75.74484585 -60.10309062 -75.93795604]"
"[1, 2, 1, 0, 0, 0, 2, 0, 0]","[-86.63468867 -87.41594065 -87.13709225  -2.32111306   2.15319438
   4.8070296  -85.17950079   1.41806145   7.01638037]"
"[1, 2, 1, 0, 0, 1, 2, 0, 2]","[-66.7561997  -20.         -20.         -12.8        -45.49226512
 -35.80557194 -35.80504737   0.98999987   0.        ]"
"[1, 1, 2, 1, 0, 2, 0, 2, 0]","[-34.831008   -20.         -20.         -34.0219609  -16.
 -34.53904512   9.99914929   0.           0.        ]"
"[0, 0, 0, 0, 1, 0, 0, 0, 2]","[ 7.63966063e+00  0.00000000e+00  1.06190648e+00  0.00000000e+00
 -4.50129397e+01  7.76232110e-03  0.00000000e+00  1.65358231e-01
 -4.50452751e+01]"
"[1, 0, 2, 0, 1, 0, 0, 0, 2]","[-77.98845359 -25.96028979 -63.72206845 -21.06       -55.58613694
   6.98992925 -14.01331207 -18.87381455 -46.56724176]"
"[1, 1, 2, 0, 1, 0, 2, 0, 2]","[-90.0854408  -90.09874937 -90.08544554 -79.99564439 -90.09694682
 -56.41188051 -90.09522931  10.         -90.08802366]"
"[1, 1, 2, 1, 0, 2, 2, 0, 0]","[ -79.76031984 -102.07005993  -79.76031984  -79.76031984  -47.09201999
  -79.76031984  -79.57852416  -66.5782272   -64.24211369]"
"[1, 1, 2, 0, 2, 1, 0, 0, 2]","[-47.07792627 -57.44484602 -34.89841464 -28.8        -35.8424876
 -64.43071291   2.02854173 -16.         -34.03485958]"
"[0, 0, 0, 2, 0, 0, 0, 1, 0]","[  9.03042684   0.           0.           0.           0.39195858
   0.2506665    0.         -54.0049894    0.        ]"
"[1, 0, 0, 2, 0, 0, 0, 1, 2]","[-34.06120559   9.89859623   0.61438148 -44.3410857    3.04469169
   2.07325775   0.10160744 -18.04046951 -32.47816788]"
"[1, 2, 0, 0, 0, 0, 1, 2, 0]","[-89.08975639 -89.45469659 -27.33484269  10.           8.77918341
 -28.77692715 -88.52148833 -89.75961185  -7.13762365]"
"[1, 0, 0, 2, 2, 1, 0, 0, 0]","[-20.           2.18657509   1.7142489  -70.47683209 -45.77107085
 -33.74776112   0.25508984   4.06153361   0.70581141]"
"[0, 0, 2, 0, 0, 0, 0, 1, 0]","[ 8.79713753e+00  3.58364020e-01 -1.85419658e+01  2.12542120e-01
  7.12800000e-01  1.97656284e-02  0.00000000e+00 -6.27137845e+01
  0.00000000e+00]"
"[1, 0, 2, 0, 2, 0, 0, 1, 0]","[-56.13170104 -39.04       -34.45013176 -36.992      -64.16978415
 -28.8          9.62448165   0.         -15.0648064 ]"
"[1, 1, 1, 0, 2, 0, 0, 2, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[0, 0, 0, 0, 1, 0, 0, 2, 0]","[  9.82647861   0.96032097   0.69814483   0.46517712 -78.49688374
   0.           0.         -44.58806602   0.396     ]"
"[1, 0, 0, 0, 1, 2, 0, 2, 0]","[-20.           9.89686542   5.74232917   0.61220947 -18.04021015
 -32.50875148   0.         -18.04128654   3.6       ]"
"[1, 1, 0, 0, 0, 2, 2, 1, 2]","[-20.         -34.03168786   9.99999868   1.64781112   3.6
 -18.02100398   0.           0.         -18.07573205]"
"[1, 1, 0, 0, 0, 2, 2, 0, 0]","[-89.96440688 -90.09068213  10.         -15.3997108    9.80400362
 -89.88256283 -89.96071333   9.86938496   9.6836696 ]"
"[1, 1, 1, 2, 0, 0, 0, 2, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
